epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.4737,2.90168,4.91517,2.67015,0.00151,0.45205,0.00334,0.00097,2.88498,5.72006,2.53755,0.00026,0.00026,0.00026
2,176.714,2.83409,4.52563,2.27183,0.00146,0.43836,0.00535,0.00144,3.12797,5.75177,2.53063,0.000529308,0.000529308,0.000529308
3,265.686,2.85575,4.51544,2.21866,0.0016,0.47945,0.00774,0.0036,2.86043,5.45728,2.34629,0.000787528,0.000787528,0.000787528
