epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.2398,2.90168,4.91517,2.67015,0.00125,0.37363,0.00232,0.00074,2.85429,5.68851,2.63566,0.00026,0.00026,0.00026
2,182.277,2.65196,4.37141,2.16575,0.00117,0.35165,0.00487,0.00117,2.89827,5.34985,2.69514,0.000529308,0.000529308,0.000529308
